	text_a	text_b	labels
787	A man dries his hands.	A woman fixes her hair.	0.250
788	A soccer player is kicking the soccer ball into the goal from a long way down the field.	A soccer player kicks the ball into the goal.	3.250
789	A girl is playing the piano.	A little girl is playing a grand piano on stage.	3.333
790	A man is drawing some figures.	A man is drawing on a digital dry erase board.	3.333
791	The monkey is hanging from the trees.	The monkey swung from branch to branch.	2.000
792	Some children are jumping on Trampoline.	Two boy are playing on a trampoline.	3.000
793	A woman with a knife is slicing a pepper.	A women slicing green pepper.	4.000
794	A man is adding oil to car.	A man is putting anti-freeze into a car.	2.000
795	A man is slicing a carrot by a machine.	A man is climbing a rope.	0.400
796	A boy played a keyboard.	A person is playing a piano keyboard.	3.200
797	A cat is playing with an antenna.	A boy is playing in the mud.	0.400
798	A woman is slicing pumpkin.	A person is slicing cantaloupe.	2.000
799	The people threw the dummy over the cliff edge.	Some people are throwing a dummy off a cliff.	4.500
800	A gun is being fired.	A potato is being peeled.	0.500
801	A woman is cutting a plastic sheet.	A woman is playing a guitar on streets.	0.500
802	A woman cuts a pineapple.	A woman is slicing a pineapple into pieces.	4.000
803	A woman is adding spices on a meat.	A woman adds ingredients to beef.	3.750
804	A person is adding oil in the pan.	The cook pouring oil into the pan.	4.250
805	A cook seasons some dough.	A man is seasoning some dough in a pan.	3.750
806	A boy is running on a beach.	Two boys are playing in the beach.	2.750
807	A baby monkey scratches itself.	The monkey scratched his tummy.	3.250
808	A boy is riding a bike on a gate.	A woman is riding a horse.	0.800
809	A man is doing a card trick.	A man is squeezing water.	0.250
810	A man is playing the piano.	Someone is playing guitar.	0.750
811	A man is mowing grass.	A guy is mowing the lawn.	4.800
812	A person is mixing water and flour.	A person is hitchhiking on a road.	0.800
813	The two dogs were in the pen.	The cowboy rode his horse in the desert.	0.000
814	A man is riding on one wheel on a motorcycle.	A person is performing tricks on a motorcycle.	3.000
815	A cat opens a drawer and climbs inside.	A big cat opens a plastic drawer with his paws and then hops inside.	3.750
816	A man is opening a box using a knife.	A man is playing a guitar.	0.000
817	A man is kicking oots of water.	A woman is slicing a red pepper.	0.250
818	A man is eating.	A woman is rock climbing.	0.000
819	A puppy is repeatedly rolling from side to side while on its back.	A dog is rolling from side to side.	3.500
820	A young boy sings and plays a guitar.	A kid plays the guitar.	3.250
821	The woman is peeling lemon.	The man is balancing on the wire.	0.400
822	A man is playing the trumpet.	Someone is playing with a toad.	0.800
823	A dog is looking around	A dog is watching a store counter.	1.600
824	A woman is slicing an onion.	A man is shown slicing a carrot with a knife.	1.200
825	The man drilled holes into the wood.	A man drills wood.	4.200
826	Someone is cutting a circle out of a pink sheet of paper.	Someone is pouring tomato sauce into a pot of meat.	0.200
827	A man is playing flute.	A man is petting a tied up dog.	0.200
828	A man is placing meat in a bag.	A man is drivong a car.	0.500
829	A girl is eating a cupcake.	A man is playing a trumpet.	0.000
830	A rabbit is sniffing and pawing a stuffed rabbit.	A live rabbit is playing with a stuffed animal bunny.	4.500
831	A man is buttering bread.	A woman is ridint a horse.	0.000
832	A woman is squeezing some cucumber slices.	A woman is getting doused in green slime.	0.750
833	A man is taking out the insides of a green pepper.	Someone is removing the seeds from a bell pepper.	4.000
834	A man takes a piece of pepperoni pizza out of a pizza box and puts it on the lid after he closes the box.	The man took a piece of pepperoni pizza out of the box.	2.750
835	The man added vegetables to the broth in the pot.	A man is adding sliced vegetables to a cooking bowl with water.	3.400
836	The man ran and jumped against the wall.	A man jumps into a wall.	3.400
837	The man is seasoning the sausages.	The man added seasoning to water in a bowl.	2.400
838	A clown is singing and people are dancing.	A clown is singing.	3.000
839	A woman is feeding an aardvark.	A woman is chopping up garlic.	0.400
840	A person is rinsing a steak off with water.	A man is rinsing a large steak.	3.929
841	A boy rode his bike on top of a metal fence.	A BMX biker rides along the top of a fence.	3.000
842	A man is throwing knives at a tree.	A man is showing magic.	1.750
843	Girls are walking on the stage.	Women models are walking down a catwalk.	2.600
844	A woman is doing weight exercises.	A woman is exercising with a barbell.	3.500
845	A man is peeling a potato.	A man is hiking.	0.500
846	A large bird standing on a table picks up a plastic glass containing liquid and places it in a bowl of something.	A bird picks up a plastic cup containing a liquid with it's beak and puts the cup into a bowl.	3.500
847	A woman is in the rain.	A car is driving along the road.	0.000
848	A woman is hitting a man.	A man is holding a slow loris.	0.000
849	A woman is riding an elephant.	A man is lifting himself.	0.000
850	A man is lifting weights.	A woman is exercising her abs.	1.000
851	A person is riding a jetski in the waves.	A woman is riding a seadoo.	2.000
852	A woman is wearing headphones.	A woman is chopping some shiso leaves.	0.600
853	A kitten is eating its food from a plate.	A kitten eats some food.	4.000
854	A woman is reading a lifestyle magazine.	A woman is slicing a meat into pieces.	0.500
855	A man is pouring chili into a bowl.	A man opens a can and pours the contents into a bowl.	2.500
856	The bird ate the food in the tree from a bowl.	A bird is eating from a bowl.	3.250
857	A group of girls are exiting a taxi.	A video clip of Rihanna leaving a taxi.	2.000
858	A woman is seasoning a piece of meat.	A man is loading a rifle with bullets.	0.000
859	A man is chopping coriander leaf.	A man is playing a guitar.	0.800
860	A man takes a slice of pizza.	A man talks on his cell phone.	0.800
861	A man is placing meat inside a plastic bag.	A woman is carrying a wallaby in a bag.	0.400
862	A rabbi is talking.	A man is walking on a rope.	0.000
863	A man rides a horse.	A woman rubs a baby's leg.	0.000
864	A man is playing guitar.	Smeone is laying down.	0.000
865	A man is slicing a bun.	A man is breaking pots.	0.400
866	A man  is driving a car.	A woman dips a shrimp in batter.	0.000
867	A dog is pawing at a fly in the carpet before it.	The dog played with a bug on the carpet.	3.600
868	A dog is barking.	A jet is flying.	0.231
869	A monkey is walking on a bed.	A man is riding a horse.	0.000
870	A woman is cooking broccoli.	A man is eating his food.	0.500
871	A man is frying a tortilla.	A person is performing a card trick.	0.000
872	A woman serving volleyballs over a net.	One woman hands volleyballs to another woman who serves them.	2.750
873	A man is slicing cucumber with a knife.	A man is cooking a tortilla in a skillet.	0.750
874	A man is playing an electronic keyboard.	A band is playing instruments.	1.250
875	A man is playing a violin.	The baby is laughing and crawling.	0.000
876	A man severs the toe of an empty leather boot using a sword.	A man is cutting a boot with a sword.	3.750
877	The person is removing the scales from the fish.	A person is descaling a fish.	5.000
878	People are walking in the garden.	One boy is talking with other man.	0.000
879	A young child rides a horse.	The little girl rode a horse.	3.200
880	A person is cutting garlic into pieces with a knife.	Someone is putting ingredients into a wok.	0.750
881	A man is folding a piece of paper.	A man is slicing a plastic container with a sword.	0.500
882	The man was pushed into the water.	A man pushes another man into the ocean.	2.500
883	A boy is upset playing video games.	Someone is playing a gameboy.	1.750
884	A man makes a call on a cell phone.	A man is making a phone call.	4.000
885	A man is speaking on a phone.	A panda bear is chewing on a stick.	0.000
886	A woman is applying cosmetics to her face.	A woman is putting on makeup.	4.600
887	The man lifted barbells.	A man lifts weights.	4.000
888	A woman feeds an animal by hand.	The women are feeding the animal.	3.000
889	Several ferrets climb out of their cage.	Ferrets climb down from a shelf.	2.200
890	A young woman is playing the flute.	A woman is washing off the top of a freezer.	0.000
891	A woman shoots a shotgun.	The woman is shooting a rifle.	2.800
892	A person is adding chili powder to chili with beans.	The man is adding seasoning to the beans.	3.800
893	A woman rapidly fires a handgun.	A woman is shooting off a gun.	4.400
894	A person is slicing an onion.	A solenodon is walking along the ground.	0.000
895	A dog is opening a fridge.	A dog closes a refrigerator door.	1.750
896	A woman is holding a dancing baby up.	A woman is abusing her child.	1.000
897	A woman is doing a joker make up on a man.	The girl applied face makeup to a man.	1.800
898	The lady added cheese to the sauce.	A man pours a plate of shredded cheese into a pot of sauce.	1.600
899	A man is giving a lecture on a podium.	A man is delivering a lecture at an event celebrating the game of cricket.	2.333
900	The cat shimmied under the bed.	A cat is crawling upside down under the couch.	2.000
901	A woman is chopping garlic.	A woman slices a fish.	1.000
902	A man is cutting grass.	A masked man sings.	0.000
903	A man is cutting grass.	A clown is singing.	0.000
904	A boy runs away from his fishing line.	A boy is running in front of fish hanging on fishing rod.	3.000
905	The man played haki sak in the office.	The man is seasoning the vegetables.	0.400
906	A man is carrying another man on his back.	A man is taking pictures of ant.	0.400
907	Meat is dropped into a pan.	A woman is putting meat in a pan.	3.250
908	A woman is cutting scallions.	A woman falls on a sand castle.	0.000
909	A man is slam dunking a ball.	A woman is slicing some onions.	0.000
910	A machine is sharpening a pencil.	A girl is riding a bicycle.	0.000
911	A woman is brushing her feet.	The sun is rising behind trees.	0.000
912	A man is cleaning the windows.	A man is driving a car.	0.400
913	A person is stirring rice.	A woman is cracking an egg.	1.000
914	A man puts a knife in a vice.	A man is dancing.	0.250
915	A boy plays violin on stage.	A boy is onstage playing the violin.	4.250
916	A woman cuts a pink loaf with a knife.	A man is playing a guitar.	0.118
917	A man is adding pork chops to a pan.	A woman is peeling a potato.	1.000
918	The men are fighting each other.	The man drew on the white paper.	0.400
919	A man is catching a ball.	A cat is rubbing against a baby.	0.000
920	A girl is reading a newspaper.	A chef is peeling a potato.	0.000
921	A slow loris bites a persons fingers.	A small animal is chewing on a finger.	2.500
922	A man is walking along a path through wilderness.	A man is peeling an onion.	0.750
923	The man played his guitar.	A guy is singing while playing his guitar.	3.000
924	Some men are skating on the road.	Two boys are skate boarding.	2.600
925	A man pours liquid into a pan.	The chef poured oil in the pan.	2.600
926	A boy is playing piano and singing.	A pig is agitating a lion.	0.000
927	A cat and a ferret are playing.	A ferret and kitten play together.	4.250
928	A monkey is walking through the water.	A guy is playing a trumpet.	0.000
929	A woman is putting on makeup.	A band is singing.	0.000
930	A dog is driving a car.	A guy is talking into a microphone.	0.000
931	The man sang on stage into the microphone.	A man in a suit is standing at a microphone and singing.	3.500
932	A car backs out of a space.	A car is taking reverse.	2.400
933	A man is holding a frog.	A man is emptying a plastic container.	0.600
934	A man is traveling in a boat.	A woman is cutting up a carrot with a knife.	0.000
935	The man rode his motorcycle down the highway.	A person is driving a motorcycle on a road.	3.750
936	A man is dicing an onion.	The man is playing the guitar.	0.400
937	A man performs on a stage.	A man guts a fish.	0.400
938	The women are sitiing down.	Two women are sitting close to each other and talking.	2.600
939	A man removes a couple of toaster scrambles from a plastic packet.	A man removes food from a bag.	1.750
940	A woman is dancing by a fire.	A man ties a noose.	0.000
941	A man is meditating.	The man is riding the horse.	0.750
942	A boy is cutting paper.	A man is loading a rifle.	0.000
943	The man talked on the telephone.	Girls are walking on the stage.	0.000
944	A man is playing the guitar and singing.	A man is opening a package containing headphones.	0.800
945	the soccer player kicked the ball side to side between his legs.	A person is kicking a soccer ball back and forth between his feet.	3.400
946	An animal is walking.	A woman is applying eye makeup.	0.000
947	Someone is scratching an animals belly.	A woman is stroking a lemur.	2.000
948	A man is lifting heavy weights.	A wallaby is licking a woman's hand.	0.250
949	A boy is playing with a toy.	A boy plays a handheld game.	3.000
950	A man dives off of a cliff.	A man is riding a motorcycle.	0.667
951	A man is coming out into the water.	A man rises from a swamp.	3.200
952	A man and woman dance.	A man is petting a dog.	0.333
953	A man is sweeping the floor of a house using a long broom.	The man swept the empty living room.	3.333
954	A group of couples are dancing.	Men and women are dancing slowly.	3.333
955	A man is scaling a fish.	A man pours some cooking oil into a pot.	1.000
956	The man set up his camera to take sunset pictures at the beach.	A man is taking pictures of a lake.	2.200
957	Someone is holding and petting a baby tiger.	Someone is rinsing a large beef steak at the kitchen sink.	0.400
958	The man is playing the guitar.	The cat cleaned his face with his paw.	0.000
959	The man did pushups on a wall.	The man tased the food.	0.250
960	A woman cuts up a vegetable.	A woman is slicing egg plant.	2.250
961	A person breaks an egg into a small bowl.	A man cracks an egg.	2.600
962	A man is playing keyboards.	A man is riding a mechanical bull.	1.200
963	A dog is running around a yard.	A black pet dog runs around in the garden of a house.	3.200
964	A child is walking down the street as a jeep pulls up.	A woman is walking along a road and a man in a motorcar pulls up beside her.	1.400
965	A man is adding oil to a pot.	A dog is catching a fish in a river.	0.200
966	The girl danced in front of the bonfire.	A woman is dancing to music standing near a bonfire.	2.750
967	A man is chopping butter into a container.	A woman is cutting shrimps.	0.600
968	A girl is dragged downhill by a dog.	A dog is pulling a child down a hill.	3.800
969	The man took off his sunglasses while talking.	A man wearing a hard hat removes his glasses as he speaks.	3.400
970	The two men did a funny skit with a boxer in front of a crowd of people.	Boys are dancing in front of people.	1.500
971	The girl is tiding up her bed.	A woman is making a bed.	2.500
972	Someoen is cooking onions.	A man is swinging nunchucks.	0.000
973	The man is using a sledghammer to break the concrete block that is on the other man.	A man breaks a slab of concrete that is lying on a prone man with a sledge hammer.	5.000
974	The lady put the dried noodles in the hot water to cook.	A woman places a container of noodles in a pan of water.	4.333
975	The girls danced on the stage.	A girl is putting on makeup.	0.333
976	A panda bear is laying down.	A baby panda relaxes on some logs.	3.333
977	Two kids are playing in a swimming pool with a green colored crocodile float.	Two kids push an inflatable crocodile around in a pool.	4.200
978	A couple of policewomen are singing karaoke.	Two women are dancing.	0.800
979	A man is putting broccoli into water.	A person is peeling a potato.	1.000
980	The doctor was helping the patient.	Doctors are trying to revive a man.	2.800
981	Some is grating onion into water.	A person grates a potato into a bowl.	1.500
982	A baby is talking.	A boy is trying to say firetruck.	1.200
983	A woman boils eggs.	A woman places two eggs into a pot of water.	3.000
984	A woman puts ingredients in a whisked egg.	A man pours gasoline.	0.000
985	A woman is slicing mango.	A man is putting cheese on a tortilla.	0.600
986	A girl is slicing a butter into two pieces.	A woman is slicing tofu.	1.000
987	A man is playing the guitar.	A person is slicing a meat into pieces.	0.000
988	A man is opening a package containing headphones.	A woman is riding a horse.	0.000
989	A girl is playing a guitar.	A boy is playing a key-board between the people.	1.000
990	A little girl plays the violin on a beach.	The girl sat on the couch to crochet.	0.000
991	A monkey is karate kicking at someone's gloved hand.	A monkey pratices martial arts.	3.500
992	A female applies something to he hair with her hands.	A cat is eating a slice of watermelon.	0.000
993	A man is karate kicking at another man wearing protective boxing gloves.	A man is kick boxing with a trainer.	2.500
994	The man is playing the wooden flute.	A little boy is vacuuming the floor.	0.000
995	A young woman is playing a guitar.	A woman cuts up some meat.	0.750
996	The men are playing soccer.	A man is riding a motorcycle.	0.000
997	A woman is running on the beach.	A dog is swimming in a pool.	0.000
998	A man is straining pasta.	A man plays a wooden flute.	0.000
999	Panda's play on a swing.	A man is playing guitar.	0.800
1000	Two green and white trains sitting on the tracks.	Two green and white trains on tracks.	4.4
1001	A small white cat with glowing eyes standing underneath a chair.	A white cat stands on the floor.	2.6
1002	A large boat in the water at the marina.	A large boat on the sea.	3.2
1003	a bus driving in a street.	Red double decker bus driving down street.	4
1004	A passenger train waiting in a station.	A passenger train sits in the station.	4.8
1005	a woman at a dinner table writing on her notebook.	Woman at table busy with something.	3.4
1006	An Apple computer sitting on the floor.	A Macintosh computer sitting on the floor.	3.8
1007	A close-up of a brown horse's head.	A side view of a horse's head.	3.4
1008	A group of people eat at a table outside.	Group of elderly people sitting around a table.	2.8
1009	A jockey riding a horse.	A jockey riding a horse in a pen.	3.8
1010	The man is riding a motorcycle down the road.	A man is riding a red motorcycle on the road.	4
1011	A woman riding a brown horse.	A young girl riding a brown horse.	3.8
1012	A kid jumping a ledge with a bike.	A black and white cat playing with a blanket.	0
1013	A black dog standing in front of yellow flowers.	A black dog standing in a field.	3
1014	Close up of a bottle of water.	A close up view of a bottle of water.	4.4
1015	A close up of a brown faced cat.	A close up of an ostrich face.	0.6
1016	sheep standing in afield.	A sheep grazing in a field.	3.2
1017	A longed-haired cat with it's eyes closed.	A close up of a cat with its eyes closed.	3.6
1018	A woman in a gray shirt smiles for the camera while the woman behind her makes a face.	A woman with a surprised look on her face is holding a smiling woman from behind.	2.6
1019	A silver and blue Amtrak train on the tracks near a small train station.	A small white car parked at the gas station.	0.6
1020	A person in a blue shirt reclines near a coffee table and television.	A person stands on the motorcycle seat and pops a wheelie.	0
1021	A black and white photo of a woman showing a horse.	a black and white photo of cows in their stalls.	1.4
1022	A dark brown horse standing in a field.	A brown horse stands in a lush green field.	4.2
1023	A pitched tent with a horse in the background.	A black and white lamb with other lambs in the background.	0
1024	A group of people sitting around a table with food on it.	A group of people sit around a table with food and beer.	4
1025	A brown horse stands in a lush green field.	A brown horse in a green field.	3.8
1026	a black and white cow in hay.	A black and white cow in a pen with hay.	4
1027	An elderly woman stands in a kitchen with two cats at her feet.	The old lady is standing in the kitchen with two cats at her feet.	5
1028	A school bus is driving uphill on a rural road.	A race care driving along a dirt road.	1
1029	Camouflage airplane sitting on grassy field.	A camouflaged plane sitting on the green grass.	4.4
1030	Three young women standing in a room together.	Two Indian women with two Indian girls near the water.	0.4
1031	Red double decker bus driving through the streets.	Double decker passenger bus driving with traffic.	4
1032	A white sheep on a hillside looking at the camera.	The skinny cows are standing on the grass.	1.2
1033	A group of sheep in a field.	A group of horses grazing in a field.	1.6
1034	A close-up, distorted photo of an empty glass Coke bottle.	A close-up picture of a desk with a computer and papers on it.	0
1035	Very crowded office desk with computer monitor on.	Messy computer desk with two monitors.	3
1036	A man sitting in a cluttered room.	A man lies in a bed in a cluttered room.	3.2
1037	Two white cows in a green pasture.	The tan horse is in the pasture.	1.4
1038	Black cow walking under trees in pasture.	Cow walking under the tree in a pasture.	3.8
1039	Two people sitting at a table at a restaurant.	four people sitting at a table.	1.8
1040	A smiling woman with a beer sitting outside with another smiling woman.	Two women sitting outside laughing.	3.2
1041	A bird holding on to a metal gate.	A multi-colored bird clings to a wire fence.	3.2
1042	The skinny cows are standing on the grass.	The white ducks are standing on the ground.	0.6
1043	A women laying across two men sitting on a sofa.	A man and two women smiling at the camera while sitting on a blue sofa.	2.2
1044	a woman with a big necklace.	A young woman with a black top and a necklace.	3.4
1045	Brown cow with horns standing in a field.	Brown horse standing in middle of grassy field.	1.8
1046	A cruise liner docked at the shoreline.	A cruise ship docked at shore.	4.4
1047	Black and white cat lying under bush.	The black and white cat with yellow eyes lounges in the dirt.	2.4
1048	Brown and white cow standing in grass at side of road.	A brown and white cow standing in a grassy area with trees behind.	3.6
1049	A small dog looking up at the camera while standing on grass.	A man and women smiling at the camera while standing in a kitchen.	0.8
1050	A tan calf with a yellow tag on his left ear looking at the camera.	A man with glasses and two plastic bottles in the foreground.	0.6
1051	Black and white photo of couch with purse at one end.	a black and white photo of a cow under a tree.	0
1052	Two men on boat floating on the water.	Large green boat floating on water.l.	2.4
1053	This is a rear view of a Chevrolet sports car.	The rear view of a red Chevrolet concept car.	3.6
1054	A person wearing a helmet rides a bike near a white structure.	A person wearing a bike helmet rides a bike on a path through trees.	3.2
1055	A black and white photo of an old train station.	A black and white photo of a motorcycle laying on the ground.	0.2
1056	A grey and white tabby cat is sleeping on purple fabric.	Black and white cat sleeping on a brown tarp.	2.4
1057	A woman holding a small baby.	A smiling woman holding a small baby.	4
1058	Group of horses grazing in grassy field.	A group of horses grazing in a field.	4.6
1059	Three men are sitting down at a table that has drinks on it.	Three men sitting at the table with beer and food.	3.4
1060	Two people dressed in white standing on a grass field.	A person is standing underneath an overpass near a highway.	0.4
1061	An orange tabby cat sleeping on the sofa.	A man is watching TV on the foot of his bed.	0.6
1062	Two Eagles perched on a branch.	Two bald eagles perched on a branch.	3.8
1063	A striped cat laying down on a bag of cat litter.	Domestic cat laying on back of cat litter.	3.8
1064	A man and small child in a living room posing for the camera.	A man and woman are posing for the camera.	2.4
1065	A home office with three computer monitors and other equipment on a desk.	Room with several computer monitors.	3
1066	Five birds stand on the snow.	Several cardinals stand in the snow.	3.8
1067	A black vehicle parked with a vies of low-lying mountains.	A black car parked in the dirt out in the country.	2.6
1068	A passenger train in the snow.	A passenger train waiting in a station.	2.2
1069	The black bird is sitting on the ground.	A blackbird sitting on the ground.	5
1070	The black and white bull is looking at the camera.	A black and white dog looking at the camera.	2
1071	A young girl riding a white and grey horse.	A young blonde girl in riding gear sits on top of a gray and white horse.	3.8
1072	A black and white sheep is walking next to a white sheep.	Little black and white calf with a tag on its ear.	0.8
1073	A living room with a dining table in the background.	A boy doing a wheelie on a plank with the beach in the background.	0
1074	The dining room table gets some afternoon sun.	Dining room with wooden dining table set with playmates.	2.2
1075	A red moped parked on a sidewalk in front of graffiti.	The red scooter is sitting on the street in front of the building.	3.6
1076	The seagull is floating on the water.	A little bird floating in the water.	3.6
1077	A black dog stands next to materials at a construction site.	An Asian toddler girl sits next to a pot of flowers on a marble post.	0
1078	A woman posing in front of an apartment building in the snow.	A woman stands in front of a building in the snow.	4.4
1079	Five cows are grazing beside the road.	Several sheep grazing in the field.	1
1080	Two mountain goats grazing in front of an alpine lake.	Two animals grazing next to a mountain, and a body of water.	3.2
1081	Black and white cows behind a fence.	Two black and white cows behind a metal gate against a partly cloudy blue sky.	3.2
1082	A passenger train waiting in a station.	A passenger train waiting at the city train station.	4
1083	A white animal running through snow covered woods.	A white dog runs through a snow covered wood.	3.4
1084	A man sitting on the grass looking toward the sky.	The train is riding on the tracks in the snow.	0
1085	A black, flat screen television placed on the floor.	A flat screen TV on the floor.	4
1086	A silver bicycle is parked in a living room.	A bicycle in a dining room.	2.4
1087	Black train on train tracks.	A train on the train tracks.	4.1
1088	Black train on train tracks.	A train on the train tracks.	4.1
1089	An orange tabby cat sleeping on the sofa.	Man wearing a bib sitting on a green couch.	0
1090	The bald eagle is perched on a rope.	Two bald eagles perched on a branch.	2.6
1091	A couple posing for a picture on a couch.	Young couple sitting on couch.	4
1092	The men are playing a guitar and having a drink.	There is a young boy with a red and blue jacket on feeding a sheep.	0
1093	Two cats sitting together on the sofa looking out the window.	Two cats are looking at a window.	3.8
1094	Red double decker bus.	Red double decker bus with hood up.	3.75
1095	A close-up of an animal with a long face standing on grass near a tree.	A close-up of a woman with black boots next to a blue motorcycle.	0
1096	A brown and white dog sits on a floral-patterned chair.	A small orange and white dog with a collar and a bell relaxes on a flower print pillow.	1.8
1097	A group of people sitting at a restaurant table.	A group of people sitting around a table with food on it.	4.2
1098	Two sheep on to of a cliff looking at the camera.	Two sheep are standing, looking at the camera, face opposite directions.	2
1099	A black and white photo of an empty train station.	a black and white photo of a cat lying down.	1.6
1100	A row of locomotives on a siding in a field.	A dark brown horse standing in a field.	1.2
1101	A white Apple computer sits on the beige carpeting of a bedroom.	An Apple computer sitting on the floor.	3.6
1102	a dog napping under a small table.	A dog sleeping under a table.	4.6
1103	A boat with four sails is sailing on water.	Sail boat sailing on the water.	3.6
1104	Red sports car racing down track.	A red sports car driving quickly on a track.	4.6
1105	Black bird sitting on a concrete slab.	Small dog sitting next to white wall.	0.8
1106	A Victory Liner bus is white with red and gold stripes.	A white tour bus with red, orange and yellow stripes.	3.2
1107	Red double decker bus on side of street.	A red double decker bus on a city street.	4.4
1108	A group of river barges with trees in the background.	A young girl wearing a bike helmet with a bicycle in the background.	0.4
1109	The seagull is floating on the water.	Large cruise ship floating on the water.	1.2
1110	A motorcycle parked next to a car.	A BMW motorcycle parked between two cars.	3
1111	Gray cat looking out the window.	A cat looking out of a window.	4
1112	a black and white photo of a cow under a tree.	A black and white photo of a cow walking under a tree in a field.	4.2
1113	A potted plant in sunlight from a window.	A potted plant with only a few sprouting.	2.8
1114	Four people are rowing a boat near the shore.	four people are on a boat on green water.	2.8
1115	A girl in a red shirt is riding a brown horse.	A tan and white dog laying in bed with a yellow coverlet.	0
1116	There is a small desk and chair in front of the laundry room.	A room with tan walls and a washer and dryer.	1.4
1117	An Amtrak passenger train waiting at a station.	A passenger train waiting in a station.	4
1118	A large jet on the ground at the airport.	A passenger jet flies through the air.	1.8
1119	A young girl wearing a helmet riding a pony.	A girl wearing a red blouse riding a brown horse.	2
1120	People sitting on the porch.	People sitting on acouch.	1.4
1121	Two horses standing in a pen.	A group of horses grazing in a field.	1.6
1122	The red train and the yellow train on on the tracks.	Two trains are traveling on the track.	3.4
1123	Two people sitting at a table at a restaurant.	A group of people sitting around a table on a porch.	1
1124	A lamb stands near two tiny animals.	A sheep standing near her children.	1.4
1125	A person riding a dirt bike in the outdoors.	A person jumping a motorbike in the air.	2.2
1126	Tan cow with ear tags on a grassy field.	Many sheep standing on a green hill.	0.2
1127	Sail boat sailing on the water.	Sail boat floating on the blue water.	4.2
1128	a woman with a viking hat on.	Smiling woman sitting wearing a viking hat.	4.2
1129	Parked white double decker bus.	A red and white double decker bus is parked.	4.2
1130	A field of black faced sheep.	A black faced sheep.	2.8
1131	Two birds are perched on a metal band.	Two small birds perched on a metal bar.	4
1132	Table with blue table cloth in kitchen.	Wooden cabinets in kitchen.	1.6
1133	A young woman with a bracelet is wearing a bikini top and jeans.	A women wearing a bikini top and jeans.	4
1134	A brown horse grazing in a field of green grass.	Brown horse standing in middle of grassy field.	4
1135	A pot of liquid is at the center of a tinfoil covered plate.	A pot of food is placed in the center of a red tablecloth.	1.4
1136	A black and white cow standing in a grassy field.	A blue jay standing in a grassy field.	0.6
1137	A yellow and blue airplane is flying in the sky.	The white airplane is flying in the blue sky.	3.2
1138	A women sitting in a chair at Christmas holding make up.	A train sitting on the tracks in a train yard.	0
1139	Four Asian young people sitting in a den or living room.	A girl sitting in a living chair.	0.8
1140	Train going down the tracks.	Train gliding on tracks.	4.6
1141	A young woman dressed in black.	Two young kids dressed up sitting down on chairs.	0.2
1142	Group of people sitting at table with drinks.	four people sitting at a table.	3
1143	A plane flying at a distance.	A woman with a white horse.	0
1144	A group of river barges with trees in the background.	A group of cows in a field with yellow tags in their ears.	0.2
1145	A living room with a dining table in the background.	A living room with large sofas and a dining table in the background.	3.6
1146	Yellow striped cat resting on blue sofa.	An orange tabby cat sleeping on the sofa.	4
1147	A passenger train coming into a station.	A large bird is flying through the air.	0
1148	Two people paddling in a red canoe with trees in the background.	Two people padding in a yellow canoe down a river with trees in the background.	3.4
1149	A black train moves down the tracks.	Black train idle on the tracks.	2.2
1150	A white jeep parked in front of a store.	A white Jeep parked on a street.	3.5
1151	Two women standing in front of tour bus.	Two men talking in front of a plane.	0.4
1152	A man rides a large black motorbike.	A child sits in a large black leather chair.	0
1153	A bicycle is parked outside a bookstore.	People stand outside a bookstore.	0.8
1154	Plane in mid-flight at sunset.	A plane flying near the sunset.	3.8
1155	Two red buses parked up with gardens in front of them.	Red buses are parked by a large white building beside a formal garden.	3.4
1156	A yellow parrot clings to the side of its cage.	A yellow and orange bird hold on to the side of a cage.	3.4
1157	Couple sailing in a small sailboat.	Two men sailing in a small sailboat.	3
1158	A silver and blue motorcycle sitting next to a car.	A motorcycle parked next to a car.	3.6
1159	Red double decker bus.	A red, double-decker bus.	5
1160	Feet standing on a pretty day with large building in background.	Two police officers standing behind a van with a bus in the background.	0.4
1161	A small white dog chews on a twig while lying on a wooden deck.	The white dog is laying on the wooden floor underneath the table.	1.6
1162	Man standing in front of silver train.	Man standing in front of a silver rail car.	4.4
1163	A close-up of a sheep with its tongue hanging out.	Close up image of a sheep with it's tongue hanging out.	5
1164	A black and white horned cow standing in a field.	a black and white cow standing in the field.	4.2
1165	A man riding a white horse in an arena.	A man riding a white horse.	4
1166	A train sitting on the tracks near a field.	A train traveling down the tracks.	2.2
1167	A women and small child sitting at a dinner table smiling at the camera.	A small cat laying on a wooden beam looking up at the camera.	0.4
1168	A buddha statue sits on a table with a wooden table runner.	A bird standing on top of a wooden fencepost.	0.4
1169	Two red buses driving in front of a garden.	Train pulling into a station.	0
1170	Cows grazing in a snow covered field.	Five cows grazing in a snow covered field.	3.8
1171	A man riding a white horse.	A woman riding a brown horse.	1.8
1172	Man with blue shirt standing in front of a fountain.	A man in a blue shirt and tan pants is standing in front of a statue of a man, which is in a cobble stone paved plaza.	3.2
1173	A girl in riding gear sits atop a brown horse.	A girl in a red shirt is riding a brown horse.	4
1174	A clear plastic chair in front of a bookcase.	a clear plastic chair in front of book shelves.	4.2
1175	A dog is wearing a gray jacket.	A dog laying in a pet jacket.	3
1176	A sheep stands on a hillside.	A large sheep standing on a hill.	4
